FBAs,cpd00254_e0,cpd00067_e0,cpd00205_e0,cpd00034_e0,cpd00009_e0,cpd00013_e0,cpd10515_e0,cpd00099_e0,cpd00030_e0,cpd00012_e0,cpd00048_e0,cpd00149_e0,cpd00073_e0,cpd10516_e0,cpd00001_e0,cpd00011_e0,cpd00007_e0,cpd11416_c0,cpd00058_e0,cpd00084_e0,cpd00063_e0,cpd00027_e0,cpd00029_e0,cpd00028_e0,Biomass
m0,0.00271953,-9.13362,0.00271953,0.00271953,0.713146,7.33267,0.0081586,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.00271953,-58.0961,34.002,-0.272261,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m1,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m2,0.000628154,1,0.000628154,0.000628154,0.164721,7.5,0,0.000628154,0.000628154,0,0.000628154,0.000628154,-2.90316,0.00251262,-8.10121,2.53695,-0.0633574,-0.202862,0.000628154,0.044514,0.000628154,0,4.10997,0,0.202862
m3,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m4,0.00271953,1,0.00271953,0.00271953,0.713146,7.33267,0,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.0108781,-58.0811,34.002,-0.279739,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m5,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m6,0.000636923,1,0.000636923,0.000636923,0.167021,7.5,0,0.000636923,0.000636923,0,0.000636923,0.000636923,-2.89133,0.00254769,-8.16305,2.51856,-0.0629681,-0.205694,0.000636923,0.0451354,0.000636923,0,4.16808,0,0.205694
m7,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m8,0.00273441,-57.6517,0.00273441,0.00273441,0.717046,7.35089,0,0.00273441,0.00273441,0,0.00273441,0.00273441,0,0.00546881,-58.0433,34.002,-0.284003,-0.883073,0.00273441,0.193773,0.00273441,0,0,0.00546881,0.883073
m9,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m10,0.00063984,1,0.00063984,0.00063984,0.167786,7.5,0,0.00063984,0.00063984,0,0.00063984,0.00063984,-2.88996,0.00127968,-8.14871,2.5206,-0.065176,-0.206636,0.00063984,0.0453421,0.00063984,0,4.16285,0.00127968,0.206636
m11,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m12,0.00273441,-94.565,0.00273441,0.00273441,0.717046,7.35089,0,0.00273441,0.00273441,0,0.00273441,0.00273441,0,0.00546881,-58.0378,34.002,-0.286738,-0.883073,0.00273441,0.193773,0.00273441,0,0,0.00546881,0.883073
m13,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m14,0.000630991,1,0.000630991,0.000630991,0.165465,7.5,0,0.000630991,0.000630991,0,0.000630991,0.000630991,-2.90185,0.00126198,-8.14297,2.46415,0,-0.203778,0.000630991,0.044715,0.000630991,0,4.14201,0.00126198,0.203778
m15,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m16,0.00271953,1,0.00271953,0.00271953,0.713146,7.33267,0,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.0108781,-58.092,34.002,-0.2743,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m17,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m18,0.000628154,1,0.000628154,0.000628154,0.164721,7.5,0,0.000628154,0.000628154,0,0.000628154,0.000628154,-2.90316,0.00251262,-8.10121,2.53695,-0.0633574,-0.202862,0.000628154,0.044514,0.000628154,0,4.10997,0,0.202862
m19,0.00122742,-2.27388,0.00122742,0.00122742,0.321867,3.36137,0,0.00122742,0.00122742,0,0.0531145,0.00122742,0,0.00490967,-9.75258,-1.17806,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m20,0.00271953,-9.13362,0.00271953,0.00271953,0.713146,7.33267,0.0081586,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.00271953,-58.0961,34.002,-0.272261,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m21,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m22,0.000628154,1,0.000628154,0.000628154,0.164721,7.5,0,0.000628154,0.000628154,0,0.000628154,0.000628154,-2.90316,0.00251262,-8.10121,2.53695,-0.0633574,-0.202862,0.000628154,0.044514,0.000628154,0,4.10997,0,0.202862
m23,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m24,0.00273441,-57.6517,0.00273441,0.00273441,0.717046,7.35089,0,0.00273441,0.00273441,0,0.00273441,0.00273441,0,0.00546881,-58.0433,34.002,-0.284003,-0.883073,0.00273441,0.193773,0.00273441,0,0,0.00546881,0.883073
m25,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m26,0.00063984,1,0.00063984,0.00063984,0.167786,7.5,0,0.00063984,0.00063984,0,0.00063984,0.00063984,-2.88996,0.00127968,-8.14871,2.5206,-0.065176,-0.206636,0.00063984,0.0453421,0.00063984,0,4.16285,0.00127968,0.206636
m27,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m28,0.00273441,-57.6517,0.00273441,0.00273441,0.717046,7.35089,0,0.00273441,0.00273441,0,0.00273441,0.00273441,0,0.00546881,-58.0433,34.002,-0.284003,-0.883073,0.00273441,0.193773,0.00273441,0,0,0.00546881,0.883073
m29,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m30,0.00063984,1,0.00063984,0.00063984,0.167786,7.5,0,0.00063984,0.00063984,0,0.00063984,0.00063984,-2.88996,0.00127968,-8.14871,2.5206,-0.065176,-0.206636,0.00063984,0.0453421,0.00063984,0,4.16285,0.00127968,0.206636
m31,0.00123469,-2.28441,0.00123469,0.00123469,1.43357,5.71184,0.00123469,0.00123469,0.00123469,-0.554898,0.053429,0.00123469,-1.17022,0.00123469,-11.4657,0,-0.231083,-0.398741,0.00123469,0.0353014,0.00123469,2.78,0,0.00246937,0.398741
m32,0.00271953,-9.13362,0.00271953,0.00271953,0.713146,7.33267,0.0081586,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.00271953,-58.0961,34.002,-0.272261,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m33,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m34,0.000628154,1,0.000628154,0.000628154,0.164721,7.5,0,0.000628154,0.000628154,0,0.000628154,0.000628154,-2.90316,0.00251262,-8.10121,2.53695,-0.0633574,-0.202862,0.000628154,0.044514,0.000628154,0,4.10997,0,0.202862
m35,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m36,0.00271953,1,0.00271953,0.00271953,0.713146,7.33267,0,0.00271953,0.00271953,0,0.00271953,0.00271953,0,0.0108781,-58.2629,34.002,-0.188847,-0.87827,0.00271953,0.192719,0.00271953,0,0,0,0.87827
m37,0.00122742,-2.27388,0.00122742,0.00122742,0.321867,3.36137,0,0.00122742,0.00122742,0,0.0531145,0.00122742,0,0.00490967,-9.75258,-1.17806,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
m38,0.000628154,1,0.000628154,0.000628154,0.164721,7.5,0,0.000628154,0.000628154,0,0.000628154,0.000628154,-2.90316,0.00251262,-8.10121,2.53695,-0.0633574,-0.202862,0.000628154,0.044514,0.000628154,0,4.10997,0,0.202862
m39,0.00122742,-1.29133,0.00122742,0.00122742,1.50444,3.76143,0,0.00122742,0.00122742,-0.591287,0.0531145,0.00122742,-0.20003,0.00490967,-10.5439,-0.978028,-0.224507,-0.396393,0.00122742,0.0350936,0.00122742,2.78,0,0,0.396393
